nome              ;unidades          ;km_ida            ;km_volta          ;nro_linha         ;sigla_emit        ;sigla_dest        ;carrega_seg       ;carrega_ter       ;carrega_qua       ;carrega_qui       ;carrega_sex       ;carrega_sab       ;carrega_dom       ;vlr_min_frete     ;multi_carr_diario
SÃO PAULO X CACERES - ITINERANTE;CGD,RON,CBA;1911;0;10;SAO;CAC;f;f;f;f;f;f;f;47500;f
SÃO PAULO X ALTA FLORESTA -  ITINERANTE;SIN,RON;2344;0;16;SAO;ALT;f;t;f;t;f;f;f;55000;f
SUMARÉ X CAMPO GRANDE - DIRETO;;914;0;102;CAM;CGD;t;t;t;t;t;t;t;25000;f
SUMARÉ X CAMPO GRANDE - ITINERANTE;DRD;1189;0;103;CAM;CGD;t;t;t;t;t;t;t;27500;f
SÃO PAULO X SIN -  ITINERANTE;RON;2025;0;12;SAO;SIN;f;f;t;f;t;t;f;45000;f
SÃO PAULO X BELO HORIZONTE - ITINERANTE;JDF,MOC,GVR,STG,TFL,GNH,MNH,OUP,JMO;589;0;59;SAO;BH2;t;t;t;t;t;t;f;17500;f
SÃO PAULO X SINOP - DIRETO;;1975;0;39;SAO;SIN;f;f;f;f;f;f;f;45000;f
SÃO PAULO X PALMAS - DIRETO;;1813;0;50;SAO;PMW;f;f;f;f;f;f;f;45000;f
CAMPO GRANDE X DOURADOS - DIRETO;;251;0;73;CGD;DRD;t;t;t;t;t;t;t;7500;f
SÃO PAULO X JI PARANÁ - DIRETO;;2619;0;32;SAO;JPR;f;f;f;f;f;f;f;57500;f
SÃO PAULO X SORRISO - DIRETO;;1892;0;41;SAO;SOR;f;f;f;f;f;f;f;50000;f
SÃO PAULO X GOIANIA - DIRETO;;905;0;53;SAO;GYN;t;t;t;t;t;t;f;20000;f
SÃO PAULO X CUIABÁ - DIRETO;;1531;0;34;SAO;CBA;t;t;t;t;t;t;f;35000;f
GOIANIA X  RONDONOPOLIS - ITINERANTE;RVD,JTI,MIN,BDG;800;0;1;GYN;RON;t;t;t;t;t;t;t;27500;f
SÃO PAULO X COLIDER -  ITINERANTE;RON,CBA,NVM,LVR,SOR,SIN;2183;0;19;SAO;COL;f;f;f;f;f;f;f;50000;f
SÃO PAULO X PALMAS -  ITINERANTE;GYN;1992;0;23;SAO;PMW;f;t;f;t;f;t;f;45000;f
SÃO PAULO X MINEIROS -  ITINERANTE;UDI,ITB,RVD,JTI;1123;0;27;SAO;MIN;f;f;f;f;f;f;f;22500;f
SÃO PAULO X JATAÍ -  ITINERANTE;UDI,ITB,RVD;1014;0;28;SAO;JTI;f;f;f;f;f;f;f;25000;f
SÃO PAULO X RIO VERDE -  ITINERANTE;ITB;922;0;29;SAO;RVD;f;t;t;t;t;t;f;27500;f
SÃO PAULO X ITUMBIARA -  ITINERANTE;UDI;723;0;30;SAO;ITB;f;f;f;f;f;f;f;17500;f
SÃO PAULO X UBERLÂNDIA - DIRETO;;589;0;31;SAO;UDI;f;f;f;f;f;f;f;15000;f
SÃO PAULO X RONDONOPOLIS - DIRETO;;1318;0;33;SAO;RON;f;f;f;f;f;f;f;32500;f
SÃO PAULO X TANGARÁ DA SERRA - DIRETO;;1774;0;35;SAO;TGA;f;f;f;f;f;f;f;37500;f
SÃO PAULO X DOURADOS;;1001;0;48;SAO;DRD;f;f;f;f;f;f;f;25000;f
SÃO PAULO X TRÊS LAGOAS;;668;0;49;SAO;TLG;f;f;f;f;f;f;f;17500;f
SÃO PAULO X MINEIROS - DIRETO;;1077;0;54;SAO;MIN;f;f;f;f;f;f;f;22500;f
