DESTINO;CTRC/GAI/PAL;T;AUTORIZACAO;PREV DE ENTREGA;NFISCAL;PEDIDO;SUBC;REMETENTE;PAGADOR;ABC;DESTINATARIO;CIDADE;UF;SET;MERCADORIA;FRETE;KgREA;M3;PESO CALCULO;SSWBAR;QVOL;COD ULT OCOR;DESC ULT OCOR;DATA ULT OCOR;PREVCHEGADA;MANIFESTO/END;CHAVE DACTE;COMISSAO RECEPCAO;TROCA GELO
CGD;CAM411401-9; N;15/06/2026;24/06/2026;   804487*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;CASAGRANDE E FRACARO LTDA - ME;CHAPADAO DO SUL;MS;012;     35.543,21;     526,08;  132,366;   1,1145;  334,350;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496691006284658 ;         97,85;
CGD;CAM411402-7; N;15/06/2026;19/06/2026;   804352;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;PACAEMBU AUTOPECAS LTDA;CAMPO GRANDE;MS;009;     11.444,02;     585,02;   96,540;   1,4602;  438,060;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496581006284549 ;        108,81;
CGD;CAM411403-5; N;15/06/2026;19/06/2026;   804616*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;REDE ANCORA MS IND. E EXP. LTD;CAMPO GRANDE;MS;007;      5.224,39;     165,73;   60,228;   0,3844;  115,320;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496601006284563 ;         30,83;
CGD;CAM411404-3; N;15/06/2026;19/06/2026;   804766*;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;COMPANHIA BRASILEIRA DE DISTRI;CAMPO GRANDE;MS;09B;      1.968,61;     226,78;   41,961;   0,5766;  172,980;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496701006284667 ;         42,18;
CGD;CAM411405-1; N;15/06/2026;19/06/2026;   804901;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;PELLEGRINO DIST AUTOPECAS LTDA;CAMPO GRANDE;MS;008;      1.014,33;     128,41;   12,510;   0,1922;   57,660;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496621006284584 ;         23,88;
CGD;CAM411417-5; N;15/06/2026;19/06/2026;   383474;571820      ;     ;SNAP-ON DO BRASIL COM. E IND.L;SNAP-ON DO BRASIL COM. E IND.L;B.;D.K DISTRIBUIDORA DE BORRACHAS;CAMPO GRANDE;MS;09B;     22.200,91;     790,66;  624,120;   1,2000;  624,120;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496841006286444 ;        147,06;
CGD;CAM411424-8; N;15/06/2026;19/06/2026;   230630;198515      ;     ;ALLTAPE IND E COM DE FITAS ADE;ALLTAPE IND E COM DE FITAS ADE;B.;FMS MOVEIS PLANEJADOS EIRRELLI;CAMPO GRANDE;MS;008;      2.137,07;     145,60;   46,570;   0,0000;   46,570;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497031006289858 ;         27,08;
CGD;CAM411443-4; N;15/06/2026;24/06/2026;   374053;            ;     ;PLASTCOR DO BRASIL LTDA - SP;PLASTCOR DO BRASIL LTDA - SP;B.;COUTINHO FALCHI LTDA;RIBAS DO RIO PARDO;MS;791;      4.699,41;     323,60;  191,700;   0,8609;  215,225;      0;     21;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496971006289794 ;         60,19;
CGD;CAM411458-2; N;15/06/2026;19/06/2026;   126148;8006486400  ;     ;FRASLE MOBILITY SOROCABA LTDA;FRASLE MOBILITY SOROCABA LTDA;B1;COMPANHIA BRASILEIRA DE DISTRI;CAMPO GRANDE;MS;09B;      4.097,17;     128,39;   64,294;   0,0784;   64,294;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497391006291120 ;         23,88;
CGD;CAM411474-4; N;15/06/2026;19/06/2026;   533594;            ;     ;ESAB INDUSTRIA E COMERCIO LTDA;ESAB INDUSTRIA E COMERCIO LTDA;B2;GUILHERME FARIAS DE SOUZA LTDA;CAMPO GRANDE;MS;07B;      4.921,20;     115,25;   71,960;   0,2398;   71,960;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497251006290861 ;         21,44;
